店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
老辺餃子舘 新宿別館,3.49,31843,463,"お仕事でお手伝い頂いた会社の女子2名に対するお礼の食事会。
ご要望1: 美味しい餃子が食べたい
ご要望2: 自宅から会社への通勤経路上で
ご要望3: かみほい嫁の参加望む

WHY Japanese people? なぜ折角の女子との食事会にマイ嫁同席!!? 
別にムフフを狙っちゃいないけどさー、飲んでも酔えないじゃんさー　;つД｀)
仕方ない。外メシ誘われて断る嫁ではないし。。。
...詳細を見る | 香港の飲茶が無性に食べたくなり、新宿の老辺餃子館に行こうと思い検索したところ、新宿駅東南口に、別館が出来ていることがわかった。

食べログから、予約して、平日のランチに二人で伺...詳細を見る | この日の新宿は土砂降りの大雨。

駅チカでサクッとランチを済ませようと『老辺餃子館 新宿別館』さんを訪問。本店の方は2021年の餃子百名店で訪問済み。老辺餃子という名前の由縁も...詳細を見る",餃子、中華料理、刀削麺
横浜家系ラーメン 天神家,3.07,95,16,"2024年1月のとある平日の12時過ぎに訪ねた。

上野広小路駅から徒歩2分ほどの場所にあるラーメン店「横浜家系ラーメン 天神家」。

それほど広くない店内は6割程度客で埋...詳細を見る | 2023年2月オープンの比較的新し目のこちらのお店。20:00頃に来訪。店内はノーゲス。入口付近の券売機にてラーメンと深谷ねぎトッピングを購入しカウンターへ。お好みは麺固め、脂多め...詳細を見る | 寒い季節にはラーメンが食べたくなります。
家系の濃厚なスープはたまに恋しくなりますね。

■家系ラーメン　850円
麺、濃さ、脂の量が選べます。
脂少なめ麺硬めでお願いし...詳細を見る",ラーメン
ちえちゃん食堂,3.05,272,15,"親子丼そうめんセットに惹かれて入店。
入ったら今日はカレーしかないとのこと
了承してカレーをいただきましたが、私のこのみではなかったです
味が薄い。
他の方の評価は高いので...詳細を見る | 4月5日

晩杯屋からの流れ、大森に来ました

ところが、お目当てのお店が満員

雰囲気的に、並んで待つのは・・・

じゃあってんで、近くのちえちゃん食堂さんにお...詳細を見る | 近所の定食屋さん

こないだお散歩してた時に気づいて
お昼に立ち寄ったお店！

入ったみたらもうそこは昔ながらの
定食屋さんでした！

この日唐揚げ定食を頼んだので...詳細を見る",食堂、牛丼、ラーメン
らーめん 龍馬,3.11,312,18,"梯子酒最終地は
久しぶりの北千住

北千住の駅前は新しいお店がわんさか出来てるんやろけど築地から日比谷線に着いた私たちはそんな街中を全く歩かず地下道通って千住警察近くの出口へ...詳細を見る | いつ覗いても常連さんで満席のこちら。なかなか行けるチャンスがありません。ラーメンと大きめに書かれていますが、ラーメン類もありますが、業態は居酒屋です。
今回たまたま1軒目で早めの...詳細を見る | 千代田線北千住駅の
ホーム端の階段を上がった
東京メトロ1番出口(千住警察方面)を
出ると
「ときわ通り（通称：呑み横）」の端の方。

ここを通ると
いつも気にな...詳細を見る",ラーメン、居酒屋、ダイニングバー
らぁ麺 えんの助,3.25,446,41,"久しぶりに西立川駅から徒歩６分
（江戸街道沿い）にある
【らぁ麺 えんの助】さんに伺いました。

こちらのお店１年ぐらい前から
｢居酒屋えんちゃん｣と｢らぁ麺えんの助｣の...詳細を見る | この日訪問した先は、西立川の「らぁ麺えんの助」

以前は「えんの助」の看板で営業されていましたが
内装工事で一時休業された後、今年の3月22日に
「らぁ麺えんの助」と「居酒...詳細を見る | とんラーメン 750円
替玉 120円

ワンオペにも関わらずランチの混む時間帯でもスムーズに提供いただけました。

表面に背脂の浮いた豚骨スープ。
臭みは少ないがそれ...詳細を見る",ラーメン、つけ麺
東京煮干屋本舗 中野本店,3.57,14134,423,"2ヶ月ぶりの再訪です。

前回の初来店の際、ラインで友達登録したので、油そば無料クーポンをいただけました。
無料クーポンを店員さんに提示し、油そば無料券としらすご飯を注文しました。

油そばを普通に注文した際は、大盛り・特盛は無料でできましたが、クーポン利用での油そばは別途追加料金がかかるということでしたので、普通盛りにしました。

無料飲食は申し訳なかったので、しらすご飯も注文しま...詳細を見る | 東京煮干屋本舗 中野本店@中野

2024年94杯目

【食べたメニュー】
油そば 海賊王（並、スタンダード〈特製だし醤油味〉）

【訪問日】
2024年6月29日（土）

【混雑度】
22時17分入店（待ち無し）
22時22分着丼

【感想】
油そばが食べたくなり、
...詳細を見る | 今回紹介するのは、中野にある「東京煮干屋本舗 中野本店」さん。

フォロワーさんからDMで「東京煮干屋本舗すごく美味しいので行ってみてください！」と教えていただきましたので、初...詳細を見る",ラーメン、油そば・まぜそば、台湾まぜそば
本格四川料理 麻辣先生 飯田橋店,3.47,8610,164,"四川料理の有名店「芊品香」さんが店名を変えてリニューアル。

リニューアル記念キャンペーンで11月中は麻婆豆腐定食が200円引き。
他の客はほとんど麻婆豆腐を注文していました。

しかし、芊品香といえばよだれ鶏。
多数のメディアで紹介されている人気メニューなんだとか。

◆本場四川よ...詳細を見る | 『麻辣先生』さんに行って来ました。
相席OKと言ったらすぐ席に案内してもらえました。4人席の3人目でしたが、隣りのお姉さんがとても親切で素敵〜♡

『麻辣ブームに火をつける』...詳細を見る | 久々に通りかかったら店名が変わってる。
メニューも美味しそうなものが増えたような。

汁なし担々麺が食べたくて入店したのだが、元祖麻辣口水魚というオリジナル料理が出ていて、「...詳細を見る",四川料理、汁なし担々麺、餃子
麺屋 庄太 練馬本店,3.36,1343,81,"おにのすみ家さんを出て、名もなき道を北上。
江古田も検討したが、４ｋｍ弱の距離で練馬駅へ。
つづいては麺屋庄太さんへ行ってきました。

駅西口から３０ｍ。
マロニエ通りか...詳細を見る | 本日もかっとばしてまいりましょう。コメントジャンジャンどうぞ。励みになります。

東京都練馬区、練馬駅からほど近い、麺屋庄太練馬本店さんに御邪魔しました。
「路地裏」と表現し...詳細を見る | ◉庄太流 家系ラーメン 醤油 並＋無料ライス

カネキッチン ヌードル@東長崎の店主さんが数年前に庄太の家系旨いよ！って言ってたのを突然思い出して訪問。

モッチモチの中太...詳細を見る",ラーメン、居酒屋
西安料理 刀削麺園,3.48,8059,303,"東銀座駅から徒歩5分、銀座東2丁目交差点付近、ホテルダイエーのそばにある刀削麺専門店。以前は比較的穴場だったが、ランチ価格の高騰で相対的に割安感が出てきたせいか、最近は少々混雑気味...詳細を見る | 日曜日の12時30分くらいに1人で訪問しました。
今回は予約なしでの利用です。
 
東銀座が最寄りですが、銀座駅から10分ほど歩いて伺いました。
お昼時でしたが待ちなくすぐ...詳細を見る | 平日の昼に訪れた
東銀座にある店だ
昭和通りから少し裏に入ったこの界隈には飲食店がちらほらと点在している
こちらの店はちょうど角にあり、客入りはそれなりに多いように見えた...詳細を見る",中華料理、火鍋、刀削麺
三ツ矢堂製麺 狛江店,3.06,947,115,"2024年6月19日(水)
20時頃入店

この日は家内と外食
そして長男も参戦
長男が麺を食べたいというので、
『ぼっけもん』へ行ったら満席でした。
という事で今回...詳細を見る | つけ麺も柚子。餃子も柚子。（タレは柚子ポン酢のみ）
個人的には餃子のタレは絶対醤油メイン派
（ラー油も多めにするが酢は最小限）
なのだが割と合う。

‥だが醤油もラー油も...詳細を見る | 色々な場所に〜店舗はあるけれど。。
寄ったことがなく〜初訪問！！
ちょっと気に入ったお店があって〜
友人に伝えたところ。。
三ツ谷堂製麺に行った方が〜ということでっ行ってみ...詳細を見る",つけ麺、ラーメン、餃子
ら～めん 熊八,3.59,4571,192,"この日やって来ましたのは「ら～めん  熊八」さん。他のレビュアーの方をみると味噌が多い様ですが、初見ですので左上の法則で塩にしました。
スープは透き通った黄金色のもので、まずビジュアルから良いです。一口飲んでみると、出汁感のある旨味に加えて、塩のまろやかな甘味が感じられる。これ程の好みのスープはか...詳細を見る | 先日のこと。 ラーメン屋界の西浦 颯大00 こと JR中央線 西八王子駅 徒歩5分の名店 ら～めん熊八 さん にせがれ選手と行ってきました！

この日は、せがれ選手は大盛りチャ...詳細を見る | Instagram  @tokyorocks69
https://www.instagram.com/tokyorocks69/

塩ラーメンが人気のこちらのお店。
ただこ...詳細を見る",ラーメン、つけ麺
風月食堂 尾和,3.40,1982,58,"ランチで訪問。

場所は新橋駅前ビル１号館の2階にあります。
ってかこのビルは1階は飲食店が多いけど、
このお店の入ってる2階は事務所にジム、
そして飲食店など様々な種類...詳細を見る | ２月いっぱいでランチ営業を終了した正味亭尾和。その後は姉妹店の風月食堂尾和のメニューを提供するダイニングホールとなっていると聞きました。どんな様子なのかランチを食べに新橋駅前ビル１...詳細を見る | 2023年3月上旬 風月ラーメン 850円
ランチにネットで見つけた此方を訪問。場所は新橋駅前ビルの２階。はるちゃんラーメンの行列を横目に見ながらエスカレーターを登り廊下の奥に店...詳細を見る",居酒屋、カレー、ラーメン
陳家私菜 新宿店,3.48,30171,518,"「東京Ｖシュラン」「王様のブランチ」

「嵐にしやがれ」「ヒルナンデス！」」など

いろんな番組で取り上げられていて

以前からずっと気になっていたお店。。。。

本格的な四川料理が食べれるお店

陳家私菜新宿店

辛いもの好きで集まって、忘年会で訪問しました！！！

ヒルトンホテル出身の特級料理人が作っているとのことで

食べる前から期待が膨らみます！

メニ...詳細を見る | 新宿にある本格中華料理「陳家私菜新宿店」にやってきました。
激辛グルメグランプリで3年連続売上1位を獲得している超人気店です。
20年前に赤坂に1号店ができ、そこで名物「頂天石焼麻婆豆腐」「頂天石焼麻婆刀削麺」が作られました。この２つは商標登録されています。
「東京Ｖシュラン」では麻辣刀削麺、...詳細を見る | その他顔文字解説はプロフィールを御確認下さい。
特に文章に表現しずらい物は顔文字のみです。

詳細評価：3.6 点

評価価格/定価　　1000/900

目印：...詳細を見る",中華料理、居酒屋、ラーメン
日高屋 東武練馬店,3.02,119,25,"やきとり丼＋餃子セット 900円(税込)

関西にはない関東だけの中華チェーン。
念願の日高屋に来れた。
とにかく安いな。
中華には珍しいやきとり丼。
興味があって頼ん...詳細を見る | ■訪問日：2023年01月20日

■いただいたもの
　・下記参照

■MEMO
　さて、この日は、ニラレバ炒め定食餃子3個を頂きました。
　ニラレバ炒め定食は、ライ...詳細を見る | 半チャーハンセット￥６７０をいただきました。ラーメンはシンプルな醤油味で落ち着く感じでチャーハンも美味しく頂きました。詳細を見る",ラーメン、中華料理、食堂
麺屋すみす,3.62,21639,642,"先日、表参道の撮影前に。
行こう行こうと思ってたが、なかなか機会がなかった。
某有名店の出身ってことで気になってました。

2012年6月25日オープンの新店。
青山一丁目のづゅる麺AOYAMAの跡地にオープン。
ってか、づゅる麺AOYAMA閉店しちゃったのね。

メニューは意外と多い。
担々麺なんかも気になるな。

今日は一番基本の醤油らーめんを。
〆ご飯もあるので追加で注文。

待つこと4分ほ...詳細を見る | ウィル青山1Fレストラン回廊の「麺屋すみす」さんを訪問。

5、6年振りの来店。その際の記憶は薄れていて魚介系を食べたような気もしましたが、味は鶏出汁とのこと。

ベースの...詳細を見る | 青山一丁目駅近く、ウィン青山内の麺屋すみすへ。
タッチパネル式の食券機はキャッシュレス専用となってます。メニューは博多水炊き醤油らーめん、鶏丸醤油らーめん(鶏×魚介)、鶏つけそば...詳細を見る",ラーメン、つけ麺
中華そば はじめ,3.07,690,13,"お昼ごはんに立寄り。
Bセット、半チャーハン、ラーメン¥950を注文。
町中華のチャーハンって感じで美味しかったです。
具材は、なると、チャーシュー、玉子、ねぎ
って感じの...詳細を見る | 鶏と醤油の味が際立つ超シンプルなスープに、変に脂っこくなく、噛み締めると味が滲み出てくるタイプのチャーシュー、主張しすぎずラーメンを引き立ててくれるメンマにナルト。

最近各方...詳細を見る | 某番組『町中華で◯◯◯◯』で紹介されてたはじめさんに初チャレンジです。
まず店内はカウンターのみで常連さんメインの客構成です。
ご夫妻で切り盛りされている様でニコニコ仲良くされ...詳細を見る",ラーメン
ひじり屋 西新宿店,3.42,2836,137,"新宿中央公園近くのラーメン屋さん目指して行き、
閉まっていました。
この界隈はコロナ禍を経て、
夜の営業をやめてしまったお店がいくつかあります。

そこで対案として近くのこちらへ。

店の外に、熱帯魚なのか水槽が置いてあって
まあ、飲食店ではまず見ない外観ですが、
なぜか周囲からは...詳細を見る | 西新宿の十二社通りにあるラーメン店です。

お店は小さいのですが、店頭に水槽がたくさん並び、金魚を飼っているので目立ちます。

店内は奥に細長く、カウンター席のみ１０席程度...詳細を見る | 支那そば780円

動物系醤油スープ
細ストレート麺ちょいちぢれ
豚バラ巻チャーシュー、白ネギ、メンマ、のり2、半熟ゆで卵半分

何度か行ってる肉そば家笑梟さんの近くで...詳細を見る",ラーメン
らーめん からしや 葛西本店,3.53,5805,279,"炙りちゃ〜しゅうからし麺1200円、大盛り120円。
チャーシューが美味しいですね！表面が炙られて香ばしさがあります。1センチほどの厚みのものが5枚。豚バラが使用されていて脂身も...詳細を見る | 葛西のらーめん からしやで、からし麺の激盛を。

研修終了後にこちらへ。前回来た時は同じように16時近くで外待ちがあり断念したが、今回は相手空いていたので行ってみた。
こちら...詳細を見る | 葛西駅から徒歩5分くらいにあります。
葛西に行ったついでにたまたま通りがかって、列ができていたのでとりあえず並んでみた(笑)

油そばが名物のお店です。
店内は広いです...詳細を見る",ラーメン
人形町 天秤棒,3.46,6355,194,"元祖担担麺と肉汁餃子専門店
人形町 天秤棒

✔️ミシュラン掲載店出身のシェフの中華
✔️夜はちょっといい大人の中華BAR
✔️中華オタクが作る本格中華✨
✔️種類豊富な担担麺！
✔️中華の後は〆に担担麺食べて！

■店舗情報┈┈┈┈┈┈┈┈┈┈
東京都中央区日本橋人形町2-25...詳細を見る | 人形町で夜担々麺を啜りたくなってこちらに入店！
久々に行ったらコンセプトが変わっていて大人の中華Barになってた。
そんな心の準備ができてないそこのあなたも大丈夫！
従来...詳細を見る | 人形町駅から歩いて3分のところにあります

天秤棒は ミシュラン出身シェフが作る
最高の中華料理です

店内は カウンター11席のみの
コンパクトな空間です

少し...詳細を見る",中華料理、担々麺、餃子
隆勝,3.21,228,24,"スタイリッシュなファサードで、
気になっていたこちらのお店へ。
入口の券売機で食券を購入。
季節もあるのか、お店はつけ麺推しでしたが、
なんとなく今日はラーメンの気分で、
...詳細を見る | ・つけ麺　¥900税込

東京メトロ東西線早稲田駅から徒歩5分程度のところにあるラーメン屋さんです。
早稲田の名店「メルシー」の隣にオープンしていて
どんなお店なのかと思い...詳細を見る | 3月18日、早稲田で有名なメルシーの隣にオープン。
オープンのお祝いのお花が飾ってあるのを見つけたので
週末、パパがいない日にランチで行ってみました。

ところで当店、「つ...詳細を見る",つけ麺
ニコニコ まぜ麺&カレー,3.51,4830,99,"魚カレーのインパクトのあるビジュアルが気になっていたこちらのお店。
カウンターのみ10席程度のお店のため並ぶかなと思っていましたが、平日の13:30頃にお邪魔したからか、先客1名様のみの、貸切状態で食べられました。

注文したのはもちろん魚カレー1200円。

カレーの種類は日本風カレーと...詳細を見る | 神田で呑んでからの麺を食べたくなる衝動。
店が決まらないで、秋葉原方面へ北上して行きつつ、着いた先はニコニコまぜ麺&カレーさん。
こういうスリランカカレーの店って、夜営業してい...詳細を見る | 日曜のお昼1時　今日も快晴
ヨドバシでお買い物して会社に行く途中
お昼はどーしよかと思いつつ
こちらの前

ドアにフィッシュカレーの写真
これにしよかなと
ドアを開け...詳細を見る",油そば・まぜそば、カレー、スリランカ料理
麺屋こころ 小岩店,3.03,545,36,"ずっと気になっていた台湾まぜそば？という未知なるジャンルに突撃する時がきました！笑
感想から言うと、パンチがあり最初っから最後までインパクトが強く、野郎は好きだろこれっていう見事...詳細を見る | この日は小岩にできた混ぜそばの有名店へ。
お店の名前は麵屋こころ小岩店。
いろんなところに支店ができるお店がこちらにも。
前はとんこつ一燈だったのがいつの間にか変わってました...詳細を見る | 昨年10月オープンした台湾まぜそば「麺屋こころ」さん。
15時すぎに訪問です。通し営業って助かるよね。

注文は肉入り台湾まぜそば ¥1,060
台湾まぜそばは食べたことあ...詳細を見る",台湾まぜそば、ラーメン
hide mode,3.68,29293,348,"ずっと前から気になっており行く機会を伺っていました…！
友人と一緒に食べログ限定のミニセットを注文。
4000円以内で美味しいコースを食べれるの最高に幸せです( ; _ ; )
個人的にすごい好きだったのは、フレンチ風のもつ煮とハンバーガーです！
迷ってパティ2枚にしましたが、単純にハンバーガー大きいのにすればよかったなと言う後悔！

1人の方が調理などを行っていますが待つ時間なども無...詳細を見る | 土曜日の17時45分に予約して伺いました。

ミニコースはお店の自慢の品がちょっとずつ食べられる内容となっています。

カウンター席が妙に落ち着きます。
目の前の鉄板でパンやパテを焼いているのが見られるのが面白い。

まずサラダ。薄くスライスされた様々な野菜がくるんとロールになって見栄...詳細を見る | ミニミニセットをいただきました。
ハイドセットにミニハンバーガーとミニラーメンをつけたコース。
最初にミニサラダ、大根率高めで出てきました。
そして餃子2個。これは1個でいい...詳細を見る",ハンバーガー、ビストロ、ラーメン
ラーメン 暖暮 町田店,3.08,1528,124,"ラーメンの麺が食べ放題なラーメン屋はなかなか珍しく、以前からかなり気になっていたこちらのラーメン暖暮町田店にやって来ました。

初訪問なので、暖暮マックス1200円に替え玉食べ放題200円を付けました。

15時頃に入店したので、客は自分1人しかいません。

これで、店は忙しそうではない...詳細を見る | この日は前々から気になっていた、小田急町田駅南口を出てすぐ、1分以内のところに店を構える『暖暮』さんにお邪魔しました

小田急町田駅南口は、駅を出てすぐのところにリーズナブルで...詳細を見る | やっぱり博多ラーメンを食べたくなったのでよってみた。初めてだ。このお店は。なぜかここ冬になったから食べたくなったのかな。なんだか以前も博多ラーメンを食べたくなったなあ。先月から2回...詳細を見る",ラーメン
TSUKEMEN zuppa,3.37,967,60,"肉や魚を不使用というつけ麺が気になり、水道場の「TSUKEMENzuppa」に行きました。

つけ麺は1000円。つけ麺とは思えないこの見た目にやられました。
フレンチの前菜ゆで卵のウフマヨ、ハーブサラダ、レンコンとナスのフリットが付け合わせ。
赤いパプリカと思われる粉やペーストが添えられて...詳細を見る | 以前、昼時間帯に並んでいるのを見かけ気になっていました。
平日12時ちょい前に入店。
カウンターは小綺麗です。
店主1名でまわしています。
既に、常連さんぽい方が1名と2名...詳細を見る | BLOG記事　http://saiyuhki5.livedoor.blog/archives/23718256.html

ベジを愛する皆san
食べるのが大好きな皆san
...詳細を見る",つけ麺、ラーメン
ふく流らーめん 轍 茅場町店,3.03,202,18,"この日は先日オープンされて気になっていた茅場町の「ふく流らーめん轍 茅場町店」にお邪魔しました。
ミシュランビブグルマンの受賞店舗が展開するこのお店、一度は訪れてみたいと思ってい...詳細を見る | 味玉醤油ふく流らーめん 1050円

本日の麺は茅場町の「ふく流らーめん 轍（わだち） 茅場町店」さん。
その名の通り、大阪に本店を構えるふく流らーめんの茅場町店となります。...詳細を見る | 東京・茅場町と八丁堀の間くらい。
2024年5月、オープンして間もない「ふく流らーめん」へ伺いました。

すぐ側にある、個人的に口に合わなかった三豊麺の
系列店。

た...詳細を見る",ラーメン
むらさき山,3.65,34973,1675,"仕事で三田に来たので、近くにあった人気店むらさき山へ。11時40分頃に7人で訪れたが、運良くバラバラに入ることができた。オススメの紫そば1130円+大盛150円の食券を購入。

いわゆる全部トッピング？的な中華そば。具材はチャーシュー3枚、メンマ、味玉、ねぎ、のり、焦がしネギ。

豚骨がベー...詳細を見る | むらさき山　って全く何がなんだか想像もつかない　
慶應通りのちょっと入ったところに・・店の前まで行けば　らーめん屋さんだと言うことは分かる

大井町の和歌山ラーメンのりや食堂...詳細を見る | 平日13時30分くらいに訪店。
ピークは過ぎていたので混雑は無し。
券売機で「中華そば」900円と「ごわん」（白ご飯）150円を購入。
確か券売機に「麺の追加注文は出...詳細を見る",ラーメン、つけ麺、中華料理
長安刀削麺,3.38,2730,91,"平日の11時40分ぐらいに行きました。
お客さん2名ですぐに入れます。
ここは刀削麺が売りなのですが、久しぶりに行ったら880円に値上げしてました。でもまだ安くはないけれど適正...詳細を見る | 麻辣刀削麺　小サイズ　¥880
小があるのがうれしい。
デザートの杏仁豆腐付き。
山椒がきいた、と書いてありましたが、
そこまでシビレまくりとまでではなく、意外に辛さもマイ...詳細を見る | 先週気にしてた「青椒肉絲ピーマン少な問題」の調査。
刀削麺を何度か食べに来た中華屋のメニューで見た気がして、調査来てみた。
この店で定食モノを頼むのは初めて。

チンジャオ...詳細を見る",中華料理、ラーメン、居酒屋
ラーメン　シビア 瀬田店,3.10,650,19,"以前取引先のメンバーに用賀迄乗せていただいたとき、躊躇なく環八をずんずん行くので、地元民は環八は通らないけど…というような話を向けると、いや魅夜脂多さん、今はもう外観、中央環状線、...詳細を見る | 35年ぶりに立ち寄った用賀の￼「Severe」さん。当時は用賀は小さな街でお店があまりなかったので、よく通ってました。変わっていないことが嬉しくて立ち寄りました。夕飯後でラーメンが...詳細を見る | 平日に訪問。
結構人気店です。

▼食べたもの
・シビア&チャーハン 930円

▼支払方法
・現金

ラーメンはやや辛めで食べやすい。
ところどころサッパリと...詳細を見る",ラーメン
麺ハチイチ/81 NOODLE BAR,3.29,3479,105,"ラーメン屋さんで飲むと、餃子、チャーシュー、メンマをツマミにビールを飲んで〆にラーメンって言うイメージ・・・が、驚くほどに裏切られる。
僕は18:00から始まるヌードルバー行くんです。他店には見たことないおつまみのメニューと店長さんのセンスがヒカルおつまみ群。昼とメニューを分けてて、断然夜が好き。おすすめは自家製レモンサワーと、尾崎牛の肉料理と、麺とカラスミ。〆の出汁そばは醤油、塩、いつも迷いま...詳細を見る | ヴィレヴァンでハンパーガーでもと井の頭通りを…
遠目からだけど店前に並びがある様に見えたので
井の頭通りを挟んだ向かい側にあった

・麺ハイチイ（昼間営業）

さんに伺...詳細を見る | どうも、さぴおです。

■吉祥寺オサレバーで提供される油そば

吉祥寺の夜。
そういえば井の頭通り沿いに二郎系を提供するバーがあったなと思い出す。
既レポの画像を見ると...詳細を見る",ラーメン、油そば・まぜそば、バー
雪国ラーメン,3.03,186,18,"足立区と川口市の境目くらいの辺鄙な場所にあるラーメン店「雪国ラーメン」に伺いました。私は通りがかりで見つけ伺いましたが、ここは地元で愛されるラーメン店に違いありません。

私が...詳細を見る | 以前より気になっていた店です。
個人的にはもう少し塩味があると嬉しいです。
また機会があれば行きます。詳細を見る",ラーメン
すっぽんラーメン 光福,3.46,5422,109,"本日、ご紹介するのは東京・押上にある「すっぽんラーメン 光福」さん♪

大体、スカイツリーから10分ぐらい錦糸町方向に歩いていくと、
こちらがあります。

特徴としてはその名の通り、すっぽんから出汁を取ったのが特徴のラーメンです。

この高級食材を使用したラーメンってどんなラーメン⁉️...詳細を見る | 牡蠣に鯛にトマトと錦糸町エリアは面白いラーメン屋が色々ある。こちらは錦糸町駅から歩くと遠い、錦糸町と押上の中間くらい、春日通り沿いのすっぽんラーメンの店。気になってたけど、ようや...詳細を見る | 友人が行ってなかなか良かった、というので、仕事会場からほど近いこちらに行ってみました。
なんと、たまたまかもしれませんが、お客さんは全て男性で、ガテン系の方が多い！ちょっと怯みま...詳細を見る",ラーメン
オストラ 水道橋店,3.40,2379,47,"今日は水道橋！  
完全オフだったので 
飲む気満々。 
   
数日前から 
こちらに、訪問することは
決定していました！    
  
なぜなら… 
数年前、神田にあった 
麻婆豆腐の超名店！ 
『覇王』さんの味がこちらで 
楽しめると、噂で聞いていたからです。 
 
『覇王』 
知る人ぞ知る 
超有名店！ 
 
いつの間にか閉店しており  
がっかりして...詳細を見る | お気に入りなのになかなか来られず、久々に夜の部で再訪。生牡蠣、蒸し牡蠣、牡蠣フライ、牡蠣のアヒージョ、よだれ鶏、餃子、春巻、青菜炒め、などなどお気に入りを一通り頂いてめちゃくちゃ満腹だったけど、〆はやっぱり牡蠣入り麻婆豆腐よね〜と注文！やっぱりここの麻婆豆腐がいちばん好み！
同僚を連れて再訪。牡蠣...詳細を見る | （2024年6月再訪）
平日ランチです。
朝の気温は大したことないですが、
ランチ時の気温はかなり高め。
大汗かくわけにもいかないので近場のこちらでランチです。

OP...詳細を見る",居酒屋、担々麺、オイスターバー
東京麺珍亭本舗 四谷四丁目店,3.11,1606,55,"夫婦揃ってこちらのお店の『特製油そば』が大好きで、特に私が偏愛していまして、長らくはまっています。私が太らない体なら週に2、3回ぐらいの頻度で食べたいぐらい好きでして、この日は、二...詳細を見る | 四谷三丁目駅から徒歩5分。
新宿御苑前駅から徒歩8分にある、某有名チェーン店の油そば屋に行ってきました。
16時頃、仕事の休憩中に1人で来店。

この時間帯の影響もあり、店...詳細を見る | 開店少し前に到着。
銀座や有楽町界隈は滝のような雨でしたが新宿は小雨。
仕事帰りととはいえ蒸し暑さは体に堪える。
朝ご飯を食べずにここの鬼盛を食べることが目的で訪問。
あち...詳細を見る",油そば・まぜそば
味の中華 羽衣 銀座本店,3.48,33049,288,"暑い日で，銀座で昼食タイムとなれば，思い浮かぶのは「羽衣の冷麺」。ということで小走りで銀座７丁目に。席に案内されればメニューを見ることなく，冷麺（河南涼麺）を発注，1,200円。さほど待たずにきました。今季お初の冷麺です。春雨がやや少ないような気もしましたが，まずは春雨，きゅうり，グリンピース，玉子焼きを投入して良く混ぜ込んでいただきます。しっかり締められたツルンとした麺，麺に絡む具材，程よい酸味...詳細を見る | 今の職場の女性は、ご結婚されても使っていたメールアドレスや印鑑などをそのまま使う都合であるかは分かりませんが旧姓を名乗っている方が多い印象を受けます。
・
前職の取引先の方で苗字を変更されている方がいたので、うっかり「おめでとうございます」と言いそうになりましたが実は離婚されたのを知り命拾いした...詳細を見る | 石造扉をくぐり欧州の古城みたいな直角にまがる階段を下りる、装飾が施された山小屋風の梁が伝統を感じさせるような内装で店内はかなり広く、奥は20名は入りそうな個室となっていました。高...詳細を見る",中華料理、餃子、担々麺
おばんざいあざみ,3.00,506,2,"熊本ラーメンをいただきました。
出汁の効いたスープはあっさりと優しい味わいでした。
喉越しの良い中太麺がスープとよく絡んでいました。
ラーメン専門店と遜色ないクオリティーで美...詳細を見る",居酒屋、ラーメン、手羽先
餃子市場 早稲田店,3.14,796,37,"Rがスイーツでも買いに行くか？
っていい出したんですよ。
夜の21時前の話です。
ホテルのケーキがタイムサービス的に安くなることがあるらしく、それを狙ってたみたいです。
でも、残念ながら閉店。ひと足遅かった。残念。
しょうがないのでコンビニスイーツでも買いに行くか？ってことになり、夜な夜な出かけます。
歩き出して数分。餃子の文字が目に飛び込んできました。まさかと思いながらRを見ると、こ...詳細を見る | 早稲田のリーガロイヤルホテルはす向かい
地元民や大学関係者が愛用している餃子酒場

かなり値上がりしましたが
それでも生ビール260円
餃子1人前6個350円

子ど...詳細を見る | 餃子をつまみにビールが飲みたくなるお店。
お料理の値段は安くないですが、とにかくビールが安い。
がぶがぶビールを飲んで餃子を食べる。その繰り返しがベスト！笑
夏の暑い日とかこ...詳細を見る",餃子、担々麺、居酒屋
福鳳,3.61,3940,170,"新潟県の燕市発祥のご当地ラーメンの「背油中華そば 福鳳」です。こちらは武蔵小金井の「豊潤」の2号店になるそうです。いわゆる「燕三条系」と呼ばれる背脂チャッチャ系のラーメンが頂けます。お店の場所は、あづま通り商店街を早稲田通り方面に向かって歩いて行った右側です。高円寺駅からは徒歩5分くらいです。

...詳細を見る | 会社帰りに訪問しました♪
高円寺駅からあずま通り商店街、早稲田通りに向かう途中にお店はあります。近隣に健太さん、一心さん等のラーメン店があります。
こちらは午前1時まで営業して...詳細を見る | 美味しい。

ちょっと駅から遠いのが難点。
月一、高円寺での間借りカレー屋の日。
11:30〜21:00までワンオペ、通し営業。

朝におにぎり二つを食べたきりで、恒例...詳細を見る",ラーメン
